taxonID,scientificName,field,missing_target_uuid,target_prose_name
e25cc653-99c0-462c-91a7-ae6e873bb93a,"Platystoma Agassiz in Spix & Agassiz, 1829",originalNameUsageID,4945f3eb-f4a0-4f94-9712-6dc0803f9774,"Platystoma Agassiz in Spix & Agassiz, 1829"
72525655-17d1-4f4a-b949-f30597338936,"Scoliodon russellii Gray in Richardson, 1846",parentNameUsageID,315afa73-6ee3-42bc-8113-e25a15b8f25b,Scoliodon Müller & Henle
e1b967b6-934e-4130-b765-70a03710d528,"Prochilodus Agassiz in Spix & Agassiz, 1829",originalNameUsageID,665c1bfb-567b-4c75-a709-bfd12cccb14c,"Prochilodus Agassiz in Spix & Agassiz, 1829"
ba7426ba-bbf9-4078-afd9-64b489e57a4e,"Leporinus Agassiz in Spix & Agassiz, 1829",originalNameUsageID,c7956109-11d5-448e-b476-10f789099de9,"Leporinus Agassiz in Spix & Agassiz, 1829"
24bbc32e-ef21-47f8-ae8e-8e7dfb569424,"Leporinus Agassiz in Spix & Agassiz, 1829",originalNameUsageID,c7956109-11d5-448e-b476-10f789099de9,"Leporinus Agassiz in Spix & Agassiz, 1829"
bda89bf9-c6f3-4d36-913e-ecefb5f0b1c2,"Leporinus Agassiz in Spix & Agassiz, 1829",originalNameUsageID,c7956109-11d5-448e-b476-10f789099de9,"Leporinus Agassiz in Spix & Agassiz, 1829"
110bd758-5fae-4492-b030-495e3db6beb6,Achatinella (Leptachatina) coruscans Hartman 1888,parentNameUsageID,b2121888-829a-4fbb-9bc8-f25ca5c7bcc9,Achatinella (Leptachatina) Gould 1847
07d29620-0b32-4a4a-a5f4-5224fcde957d,"Prochilodus Agassiz in Spix & Agassiz, 1829",originalNameUsageID,665c1bfb-567b-4c75-a709-bfd12cccb14c,"Prochilodus Agassiz in Spix & Agassiz, 1829"
21dfaede-a33f-4c22-bc52-79f468853b72,"Anodus Agassiz in Spix & Agassiz, 1829",originalNameUsageID,da1c8932-6fa5-4c82-99b0-133936a4403b,"Anodus Agassiz in Spix & Agassiz, 1829"
b35049c6-fcdc-41a3-b8c9-85880dd26c4b,"Platystoma Agassiz in Spix & Agassiz, 1829",originalNameUsageID,4945f3eb-f4a0-4f94-9712-6dc0803f9774,"Platystoma Agassiz in Spix & Agassiz, 1829"
bdb53e00-cc1c-40d4-8435-5c5d11eed0d9,"Epicyrtus macrolepis Kner, 1858",parentNameUsageID,f95e5366-9d6e-447d-811d-19a3c20f80be,Epicyrtus Müller & Troschel
16bc09b5-6831-4cc9-b3e8-1076917bbacd,"Hypophthalmus Agassiz in Spix & Agassiz, 1829",originalNameUsageID,ca4c98be-0f97-4adf-acfc-ac46112de64a,"Hypophthalmus Agassiz in Spix & Agassiz, 1829"
dd793f24-6869-4999-9a5a-184b788b9c92,"Rhinelepis Agassiz in Spix & Agassiz, 1829",originalNameUsageID,3d34ec2a-9664-4a12-b77d-7247f9650cca,"Rhinelepis Agassiz in Spix & Agassiz, 1829"
9487ba76-36c5-4c43-abf9-a28c87ee4c8e,Achatinella (Amastra) uniplicata Hartman 1888,parentNameUsageID,649ed01e-c4a2-4db1-90ed-08d04e09b446,Achatinella (Amastra) Adams & Adams 1854
447ccac9-4247-4fe7-a5c6-be2329d9fbce,Carcharias (Scoliodon) lalandii Valenciennes in Müller & Henle 1839,parentNameUsageID,f01a0fad-63a4-444e-9fa6-5ebabb0a40d4,Carcharias (Scoliodon) Müller & Henle
1ced7c3c-b23c-4e60-bcad-d9d936e51527,"Leporinus Agassiz in Spix & Agassiz, 1829",originalNameUsageID,c7956109-11d5-448e-b476-10f789099de9,"Leporinus Agassiz in Spix & Agassiz, 1829"
02421907-8595-4c2a-8d49-170e0f3744e8,"Leporinus Agassiz in Spix & Agassiz, 1829",originalNameUsageID,c7956109-11d5-448e-b476-10f789099de9,"Leporinus Agassiz in Spix & Agassiz, 1829"
70f61bbd-87ea-45b1-a44f-1609f20a5a37,"Micropteryx Agassiz in Spix & Agassiz, 1831",originalNameUsageID,06bf5a8d-b82b-4cef-b386-3d0335440419,"Micropteryx Agassiz in Spix & Agassiz, 1831"
fa9c4b42-d26f-4f76-88c5-1d780049ffc6,"Leporinus Agassiz in Spix & Agassiz, 1829",originalNameUsageID,c7956109-11d5-448e-b476-10f789099de9,"Leporinus Agassiz in Spix & Agassiz, 1829"
58537834-dd39-4fb5-aed1-457c924ca3d2,"Ferdauia claeszooni Whitley, 1947",parentNameUsageID,6783ff60-6f76-496c-acb0-e436b81e5ae6,"Ferdauia Jordan, Evermann & Wakiya in Jordan, Evermann & Tanaka"
7337abf9-a95e-4218-b41b-2d40b88e5248,"Schizodon Agassiz in Spix & Agassiz, 1829",originalNameUsageID,ea598296-091f-4e70-b7a0-d0d4244d9220,"Schizodon Agassiz in Spix & Agassiz, 1829"
f55b975b-a276-4597-86db-a038a9508674,"Platystoma Agassiz in Spix & Agassiz, 1829",originalNameUsageID,4945f3eb-f4a0-4f94-9712-6dc0803f9774,"Platystoma Agassiz in Spix & Agassiz, 1829"
bdd4b03a-8a0d-4688-a8af-e429e955fc2f,"Bulimus newcombianus Pfeiffer, 1851",parentNameUsageID,b5ace767-52ef-44de-97f6-9f3b76075f58,"Bulimus Scopoli, 1777"
c9026fee-3dd9-4d7b-a63b-272745500856,"Leporinus Agassiz in Spix & Agassiz, 1829",originalNameUsageID,c7956109-11d5-448e-b476-10f789099de9,"Leporinus Agassiz in Spix & Agassiz, 1829"
40b8aa94-8361-4b35-a962-842f2d4e4528,"Pterodiscus Pilsbry, 1893",originalNameUsageID,3bc1ce9c-63eb-46e1-8b0a-19ee862e8b92,"Endodonta (sect. Pterodiscus) Pilsbry, 1893"
