taxonID,scientificName,taxonRank,scientificNameAuthorship,namePublishedInYear,namePublishedIn
d0d3bd72-802c-4354-a29e-48d13dc28055,"Phoxichilidium Milne-Edwards, 1840",genus,,,
89cf2b98-c986-4950-a31f-0364ea3be22c,"Blastopsylla Taylor, 1985",genus,,,
3ff51ed3-20d9-4f62-adfc-83ef509c48e6,"Tenebrionidae Latreille, 1802",family,,,
6f00c9f9-1df0-454b-8d4a-22aec7db5585,"Ilburnia White, 1878",genus,,,
3b8ac114-9b7e-4c47-99b4-814f3dc9da67,"Nototheniidae Günther, 1861",family,,,
0a880827-82bc-49b7-b0ff-63db52867beb,"Fossarus Philippi, 1841",genus,,,
af203792-6c50-4b5d-9522-b52d239eadf4,"Plocamopherus Rüppell & Leuckart, 1828",genus,,,
51923f4d-23b6-4df3-a8a7-db2bc4a078b3,"Pyrgulina A. Adams, 1864",genus,,,
aa043da4-563f-4f82-ad5a-2ae1247a5779,"Parashiela Laseron, 1956",genus,,,
ebe5115e-a5a4-4f8d-8463-1cd8682eea34,"Prosopeas Moerch, 1876",genus,,,
70f8067d-5459-4b8d-969c-ef29f5fd04ac,"Siphonaria G. B. Sowerby I, 1823",genus,,,
4a7a89d6-d223-4655-bb24-0514620019b0,"Oodemas Boheman, 1859",genus,,,
b7621038-6dd9-499a-81cb-46e444ad272b,"Prospaltella Ashmead, 1904",genus,,,
c9aed957-ac09-470b-9a8a-9355b4b15b64,"Degeeria Nicolet, 1841",genus,,,
0409d768-bef4-4357-86f7-e43fad966c3b,"Lathrostizus Forster, 1868",genus,,,
8c2c9bef-be9f-4464-ac1a-a3af815a38fb,"Trivia Gray, 1837",genus,,,
bf38daec-4c0a-40cf-afad-91bf7555e853,Euthrips Targioni-Tozzetti 1886,genus,,,
060636fd-a0a3-4107-9f21-06a56c844943,"Geckobiella Hirst, 1917",genus,,,
f95c285a-7dfb-42fe-9665-4bf0e941502b,"Neomysis Czerniavsky, 1882",genus,,,
09f067f6-26c8-49ef-b748-2285dc9608ab,"Prospaltella Ashmead, 1904",genus,,,
8c28bfbf-9d03-43b9-b5a2-c3c26b775be3,"Phallodrilus Pierantoni, 1902",genus,,,
1860c115-1906-4844-a863-fb51e10d743f,"Haplochthonius Willmann, 1930",genus,,,
a1bf7f0b-60b6-4d00-92e2-a3d3c53319d8,"Rocinela Leach, 1818",genus,,,
589e209d-3315-48d2-89ec-80b1842d95c6,"Syscenus Harger, 1880",genus,,,
ba4d377d-e52d-4efc-bb13-0bb05929d241,"Pauropsylla Ruebsaamen, 1899",genus,,,
0d8ab0c8-cfbe-40a1-a414-9e07ad232de2,"Tetrastichus Haliday, 1844",genus,,,
994d2b46-6a27-46da-8a11-ce4891c1bf70,"Phyllodoce Ranzani, 1817",genus,,,
4d1daf86-3285-4eba-8980-b9c8f7d3c9df,"Teleonemia Costa, 1864",genus,,,
ea4001b5-6ae9-43b2-bd8a-8cc58d6496b0,"Deilephila Laspeyres, 1809",genus,,,
9df288d5-c25e-4171-ab66-1decce9a14f2,"Acritus Leconte, 1853",genus,,,
bbeff079-249a-4d13-9bd6-2810ce881d18,"Scutigerella Ryder, 1882",genus,,,
